Random VS MCTS with 25 Nodes
winRate, time, space, score
87.75510204081633,80469.0,3900,15.1
83.0,78764.0,3900,14.72
84.375,81995.0,3900,13.08
84.0,77825.0,3900,14.6
84.0,78158.0,3900,14.48
82.0,78205.0,3900,12.58
81.0,78479.0,3900,13.42
81.63265306122449,78052.0,3900,12.94
87.0,79484.0,3900,17.31
87.87878787878788,80589.0,3900,13.23

Random VS Greedy
winRate, time, space, score
83.0,100.0,3900,18.06
82.82828282828282,35.0,3900,16.81
84.84848484848484,24.0,3900,21.17
82.82828282828282,20.0,3900,19.33
86.0,25.0,3900,20.43
84.0,21.0,3900,19.52
84.0,18.0,3900,19.24
86.5979381443299,18.0,3900,21.27
89.79591836734694,17.0,3900,20.85
81.44329896907216,14.0,3900,17.15

Greedy VS MCTS with all Nodes
winRate, time, space, score
58.333333333333336,77821.0,3900,-1.37
54.63917525773196,76945.0,3900,-2.38
52.57731958762887,77050.0,3900,-2.09
54.54545454545454,76607.0,3900,-1.8
69.0721649484536,76694.0,3900,2.7
56.00000000000001,76770.0,3900,-0.01
54.08163265306123,77786.0,3900,-2.79
49.0,76514.0,3900,-4.39
53.06122448979592,76914.0,3900,-1.77
45.91836734693878,76521.0,3900,-2.84

