IterationCount, UTC constant, Wins
1, 0.75, 26
1, 0.5, 28

2, 0.75, 32
2, 0.5, 24

4, 0.75, 27
4, 0.5, 28

8, 0.75, 28
8, 0.5, 26

16, 0.5, 37
16, 0.75, 30

32, 0.5, 34
32, 0.75, 37

64, 0.5, 32
64, 0.75, 35

128, 0.5, 30
128, 0.75, 36

256, 0.5, 42
256, 0.75, 53

512, 0.5, 32
512, 0.75, 44

1024, 0.5, 36
1024, 0.75, 36

2048, 0.5, 51
2048, 0.75, 39

4096, 0.5, 33
4096, 0.75, 40

1, 0.0, 39
1, 0.25, 21
1, 0.5, 32

2, 0.0, 24
2, 0.25, 34
2, 0.5, 27

4, 0.0, 30
4, 0.25, 33
4, 0.5, 41

8, 0.0, 27
8, 0.25, 30
8, 0.5, 25

16, 0.0, 23
16, 0.25, 31
16, 0.5, 37

32, 0.0, 27
32, 0.25, 38
32, 0.5, 39

64, 0.0, 30
64, 0.25, 35
64, 0.5, 42

128, 0.0, 26
128, 0.25, 36
128, 0.5, 40

256, 0.0, 26
256, 0.25, 31
256, 0.5, 48

512, 0.0, 34
512, 0.25, 37
512, 0.5, 39

1024, 0.0, 22
1024, 0.25, 29
1024, 0.5, 39

2048, 0.0, 34
2048, 0.25, 32
2048, 0.5, 35

4096, 0.0, 28
4096, 0.25, 46
4096, 0.5, 33

1, 1.75, 23
1, 1.5, 26
1, 2.0, 28

2, 1.75, 29
2, 1.5, 28
2, 2.0, 23

4, 1.75, 32
4, 1.5, 33
4, 2.0, 32

8, 1.5, 35
8, 1.75, 33
8, 2.0, 41

16, 2.0, 38
16, 1.5, 30
16, 1.75, 35

32, 2.0, 31
32, 1.5, 42
32, 1.75, 34

64, 2.0, 43
64, 1.5, 35
64, 1.75, 42

128, 2.0, 33
128, 1.5, 33
128, 1.75, 48

256, 2.0, 48
256, 1.5, 44
256, 1.75, 42

512, 2.0, 41
512, 1.5, 45
512, 1.75, 48

1024, 2.0, 45
1024, 1.5, 48
1024, 1.75, 33

2048, 2.0, 43
2048, 1.5, 50
2048, 1.75, 39

4096, 2.0, 45
4096, 1.5, 40
4096, 1.75, 48

1, 1.5, 31
1, 1.25, 19
1, 1.0, 28

2, 1.5, 26
2, 1.25, 27
2, 1.0, 26

4, 1.5, 36
4, 1.25, 17
4, 1.0, 23

8, 1.5, 29
8, 1.0, 25
8, 1.25, 30

16, 1.0, 36
16, 1.25, 31
16, 1.5, 28

32, 1.0, 31
32, 1.25, 36
32, 1.5, 42

64, 1.0, 48
64, 1.25, 33
64, 1.5, 40

128, 1.0, 36
128, 1.25, 44
128, 1.5, 41

256, 1.0, 46
256, 1.25, 51
256, 1.5, 44

512, 1.0, 46
512, 1.25, 46
512, 1.5, 33

1024, 1.0, 44
1024, 1.25, 48
1024, 1.5, 55

2048, 1.0, 50
2048, 1.25, 41
2048, 1.5, 42

4096, 1.0, 48
4096, 1.25, 45
4096, 1.5, 41



IterationCount, UTC constant, Wins

IterationCount, UTC constant, Wins

1, 0.0, 266
1, 0.25, 241
1, 0.5, 270

2, 0.0, 265
2, 0.25, 293
2, 0.5, 286

4, 0.0, 280
4, 0.25, 269
4, 0.5, 280

8, 0.0, 306
8, 0.25, 319
8, 0.5, 308

16, 0.0, 299
16, 0.25, 315
16, 0.5, 300

32, 0.0, 291
32, 0.25, 356
32, 0.5, 345

64, 0.0, 306
64, 0.25, 379
64, 0.5, 358

128, 0.0, 338
128, 0.25, 377
128, 0.5, 397

256, 0.0, 290
256, 0.25, 376
256, 0.5, 413

512, 0.0, 307
512, 0.25, 392
512, 0.5, 407

1024, 0.0, 312
1024, 0.25, 356
1024, 0.5, 388

2048, 0.0, 326
2048, 0.25, 400
2048, 0.5, 408



4096, 0.0, 280
4096, 0.25, 401
4096, 0.5, 392

IterationCount, UTC constant, Wins

IterationCount, UTC constant, Wins














IterationCount, UTC constant, Wins














IterationCount, UTC constant, Wins














IterationCount, UTC constant, Wins














IterationCount, UTC constant, Wins














