Round: 0, Child: 0, Score: 899.5, VisitCount: 2756, Child: 1, Score: 2147.0, VisitCount: 5926, Child: 2, Score: 824.0, VisitCount: 2926, 
Round: 1, Child: 0, Score: 215.5, VisitCount: 1793, Child: 1, Score: 1749.5, VisitCount: 3973, Child: 2, Score: 332.0, VisitCount: 1681, 
Round: 2, Child: 0, Score: 768.5, VisitCount: 2282, Child: 1, Score: 797.5, VisitCount: 2282, Child: 2, Score: 2780.5, VisitCount: 5162, 
Round: 3, Child: 0, Score: 174.5, VisitCount: 1349, Child: 1, Score: 960.5, VisitCount: 3989, Child: 2, Score: 122.5, VisitCount: 1445, 
Round: 4, Child: 0, Score: 28.0, VisitCount: 1239, Child: 1, Score: 322.5, VisitCount: 3506, Child: 2, Score: 85.5, VisitCount: 1818, 
Round: 5, Child: 0, Score: 43.5, VisitCount: 1134, Child: 1, Score: 54.0, VisitCount: 1238, Child: 2, Score: 283.0, VisitCount: 3207, 
Round: 6, Child: 0, Score: 139.5, VisitCount: 2481, Child: 1, Score: 113.0, VisitCount: 2208, Child: 2, Score: 103.5, VisitCount: 2101, 
Round: 7, Child: 0, Score: 33.0, VisitCount: 933, Child: 1, Score: 239.0, VisitCount: 2611, Child: 2, Score: 36.5, VisitCount: 967, 
Round: 8, Child: 0, Score: 17.0, VisitCount: 561, Child: 1, Score: 16.5, VisitCount: 603, Child: 2, Score: 649.5, VisitCount: 3519, 
Round: 9, Child: 0, Score: 833.5, VisitCount: 2978, Child: 1, Score: 47.0, VisitCount: 546, Child: 2, Score: 12.0, VisitCount: 323, 
Round: 10, Child: 0, Score: 105.0, VisitCount: 1301, Child: 1, Score: 66.0, VisitCount: 1010, Child: 2, Score: 252.0, VisitCount: 2305, 
Round: 11, Child: 0, Score: 1.0, VisitCount: 1237, Child: 1, Score: 1.5, VisitCount: 1246, Child: 2, Score: 0.0, VisitCount: 1220, 
Round: 12, Child: 0, Score: 0.0, VisitCount: 1165, Child: 1, Score: 0.0, VisitCount: 1165, Child: 2, Score: 0.0, VisitCount: 1165, 
Round: 13, Child: 0, Score: 0.0, VisitCount: 1095, Child: 1, Score: 0.0, VisitCount: 1094, Child: 2, Score: 0.0, VisitCount: 1094, 
Round: 14, Child: 0, Score: 0.0, VisitCount: 1059, Child: 1, Score: 0.0, VisitCount: 1058, Child: 2, Score: 0.0, VisitCount: 1058, 
Round: 15, Child: 0, Score: 0.0, VisitCount: 1029, Child: 1, Score: 0.0, VisitCount: 1029, Child: 2, Score: 0.0, VisitCount: 1029, 
Round: 16, Child: 0, Score: 0.0, VisitCount: 1011, Child: 1, Score: 0.0, VisitCount: 1011, Child: 2, Score: 0.0, VisitCount: 1011, 
Round: 17, Child: 0, Score: 0.0, VisitCount: 1003, Child: 1, Score: 0.0, VisitCount: 1003, Child: 2, Score: 0.0, VisitCount: 1003, 
Round: 18, Child: 0, Score: 0.0, VisitCount: 1502, Child: 1, Score: 0.0, VisitCount: 1502, 
Round: 19, Child: 0, Score: 0.0, VisitCount: 3001, 
Round: 0, Child: 0, Score: 328.0, VisitCount: 2219, Child: 1, Score: 625.0, VisitCount: 3327, Child: 2, Score: 763.0, VisitCount: 3931, 
Round: 1, Child: 0, Score: 284.0, VisitCount: 1821, Child: 1, Score: 1387.5, VisitCount: 4457, Child: 2, Score: 132.0, VisitCount: 917, 
Round: 2, Child: 0, Score: 138.0, VisitCount: 1511, Child: 1, Score: 167.0, VisitCount: 1719, Child: 2, Score: 989.5, VisitCount: 4303, 
Round: 3, Child: 0, Score: 803.0, VisitCount: 3772, Child: 1, Score: 149.0, VisitCount: 1150, Child: 2, Score: 133.5, VisitCount: 1445, 
Round: 4, Child: 0, Score: 1252.5, VisitCount: 4770, Child: 1, Score: 230.0, VisitCount: 1770, Child: 2, Score: 313.0, VisitCount: 1692, 
Round: 5, Child: 0, Score: 556.5, VisitCount: 3949, Child: 1, Score: 41.5, VisitCount: 1049, Child: 2, Score: 63.0, VisitCount: 1049, 
Round: 6, Child: 0, Score: 172.5, VisitCount: 2053, Child: 1, Score: 90.0, VisitCount: 1394, Child: 2, Score: 116.5, VisitCount: 1612, 
Round: 7, Child: 0, Score: 1384.5, VisitCount: 3429, Child: 1, Score: 26.5, VisitCount: 341, Child: 2, Score: 34.5, VisitCount: 557, 
Round: 8, Child: 0, Score: 1097.0, VisitCount: 3052, Child: 1, Score: 48.0, VisitCount: 365, Child: 2, Score: 78.5, VisitCount: 494, 
Round: 9, Child: 0, Score: 199.5, VisitCount: 1646, Child: 1, Score: 95.0, VisitCount: 1016, Child: 2, Score: 328.0, VisitCount: 2360, 
Round: 10, Child: 0, Score: 189.0, VisitCount: 1238, Child: 1, Score: 160.5, VisitCount: 1101, Child: 2, Score: 420.0, VisitCount: 2263, 
Round: 11, Child: 0, Score: 35.0, VisitCount: 571, Child: 1, Score: 543.0, VisitCount: 2295, Child: 2, Score: 48.0, VisitCount: 661, 
Round: 12, Child: 0, Score: 1.0, VisitCount: 138, Child: 1, Score: 943.0, VisitCount: 3090, Child: 2, Score: 0.0, VisitCount: 143, 
Round: 13, Child: 0, Score: 6.0, VisitCount: 606, Child: 1, Score: 217.5, VisitCount: 2367, Child: 2, Score: 7.0, VisitCount: 617, 
Round: 14, Child: 0, Score: 0.0, VisitCount: 1054, Child: 1, Score: 0.0, VisitCount: 1054, Child: 2, Score: 0.0, VisitCount: 1053, 
Round: 15, Child: 0, Score: 106.0, VisitCount: 1802, Child: 1, Score: 0.0, VisitCount: 690, Child: 2, Score: 0.0, VisitCount: 690, 
Round: 16, Child: 0, Score: 0.0, VisitCount: 1011, Child: 1, Score: 0.0, VisitCount: 1011, Child: 2, Score: 0.0, VisitCount: 1011, 
Round: 17, Child: 0, Score: 0.0, VisitCount: 1003, Child: 1, Score: 0.0, VisitCount: 1003, Child: 2, Score: 0.0, VisitCount: 1003, 
Round: 18, Child: 0, Score: 0.0, VisitCount: 1502, Child: 1, Score: 0.0, VisitCount: 1502, 
Round: 19, Child: 0, Score: 0.0, VisitCount: 3001, 
Round: 0, Child: 0, Score: 824.0, VisitCount: 2824, Child: 1, Score: 982.5, VisitCount: 2858, Child: 2, Score: 2173.5, VisitCount: 5756, 
Round: 1, Child: 0, Score: 469.5, VisitCount: 3537, Child: 1, Score: 186.0, VisitCount: 1877, Child: 2, Score: 401.5, VisitCount: 3105, 
Round: 2, Child: 0, Score: 1653.0, VisitCount: 4069, Child: 1, Score: 281.0, VisitCount: 1225, Child: 2, Score: 124.5, VisitCount: 775, 
Round: 3, Child: 0, Score: 121.0, VisitCount: 701, Child: 1, Score: 1520.0, VisitCount: 3789, Child: 2, Score: 118.0, VisitCount: 653, 
Round: 4, Child: 0, Score: 774.0, VisitCount: 1770, Child: 1, Score: 586.5, VisitCount: 1458, Child: 2, Score: 2449.0, VisitCount: 4640, 
Round: 5, Child: 0, Score: 137.0, VisitCount: 461, Child: 1, Score: 2451.0, VisitCount: 3509, Child: 2, Score: 251.5, VisitCount: 829, 
Round: 6, Child: 0, Score: 2047.0, VisitCount: 3142, Child: 1, Score: 208.5, VisitCount: 548, Child: 2, Score: 128.0, VisitCount: 389, 
Round: 7, Child: 0, Score: 586.5, VisitCount: 1349, Child: 1, Score: 1342.0, VisitCount: 2853, Child: 2, Score: 737.5, VisitCount: 1644, 
Round: 8, Child: 0, Score: 509.5, VisitCount: 848, Child: 1, Score: 395.5, VisitCount: 722, Child: 2, Score: 2655.0, VisitCount: 3830, 
